ID Usuario,Grupo,Regiao,Dispositivo,Data Cadastro,Data Evento,Nome Evento,Detalhes Evento
831887FE7F2D6CBA,A,EU,Android,2020-12-07,2020-12-07 06:50:29,purchase,4.99
3C5DD0288AC4FE23,A,EU,PC,2020-12-07,2020-12-07 19:42:40,purchase,4.99
49EA242586C87836,B,EU,iPhone,2020-12-07,2020-12-07 06:31:24,purchase,99.99
2B06EB547B7AAD08,A,EU,PC,2020-12-07,2020-12-07 21:36:38,purchase,4.99
A640F31CAC7823A6,B,EU,PC,2020-12-07,2020-12-07 18:48:26,purchase,4.99
2F46396B6766CFDB,A,EU,PC,2020-12-07,2020-12-07 13:29:30,purchase,4.99
538F954F6B3AECE4,A,EU,Android,2020-12-07,2020-12-07 07:12:05,purchase,4.99
A9908F62C41613A8,B,EU,PC,2020-12-07,2020-12-07 11:26:47,purchase,9.99
0997EC1C4850B27B,B,EU,Android,2020-12-07,2020-12-07 08:01:55,purchase,4.99
C7CB2F1BA42F102B,B,EU,iPhone,2020-12-07,2020-12-07 03:05:05,purchase,99.99
CF03E97B314C5632,B,EU,Android,2020-12-07,2020-12-07 13:36:54,purchase,4.99
D928E12DD731B2EE,B,EU,Android,2020-12-07,2020-12-07 09:27:00,purchase,4.99
2828E6688DC580C4,A,EU,Android,2020-12-07,2020-12-07 11:43:42,purchase,4.99
58E6F67F64314776,B,EU,Android,2020-12-07,2020-12-07 08:25:53,purchase,4.99
D2ACA8F6E2C79C02,B,EU,Mac,2020-12-07,2020-12-07 01:46:33,purchase,4.99
DD5EBF41B1DCCB0E,A,EU,PC,2020-12-07,2020-12-07 19:21:29,purchase,4.99
A1550AF89E314963,A,EU,iPhone,2020-12-07,2020-12-07 01:22:52,purchase,4.99
5E0FE312B9349ADB,B,EU,Android,2020-12-07,2020-12-07 16:28:15,purchase,4.99
796235FF6E88D357,A,EU,Android,2020-12-07,2020-12-07 12:50:10,purchase,9.99
EE90C1C80B415747,A,EU,iPhone,2020-12-07,2020-12-07 16:43:32,purchase,99.99
F5B7DA8807EC1AF7,A,EU,PC,2020-12-07,2020-12-07 00:31:08,purchase,9.99
0EA9AB1C2A159C77,A,EU,Android,2020-12-07,2020-12-07 23:36:46,purchase,99.99
7A5A2E9D57A39232,A,EU,Android,2020-12-07,2020-12-07 18:35:21,purchase,4.99
6F76F492BDB91570,A,EU,iPhone,2020-12-07,2020-12-07 02:53:41,purchase,4.99
C286A270CFB9925D,A,EU,Android,2020-12-07,2020-12-07 08:37:36,purchase,4.99
76326F7A53D2008C,B,EU,PC,2020-12-07,2020-12-07 15:06:04,purchase,4.99
3B6ABE8E7872977E,B,EU,Android,2020-12-07,2020-12-07 22:33:04,purchase,4.99
77FC0E20AEAC1506,A,EU,Android,2020-12-07,2020-12-07 04:59:28,purchase,4.99
7E8720DB6A21CF66,B,EU,Android,2020-12-07,2020-12-07 13:28:52,purchase,4.99
618D7AD9FE73843C,A,EU,iPhone,2020-12-07,2020-12-07 07:11:54,purchase,99.99
B0D0F552D955E773,B,EU,Android,2020-12-07,2020-12-07 02:38:27,purchase,4.99
